sector,weight
Communication Services,0.126
Consumer Discretionary,0.091
Consumer Staples,0.062
Energy,0.005
Financials,0.002
Health Care,0.04
Industrials,0.029
Materials,0.009
Real Estate,0.0
Technology,0.378
Utilities,0.012
