sector,weight
Communication Services,0.021
Consumer Discretionary,0.078
Consumer Staples,0.022
Energy,0.031
Financials,0.085
Health Care,0.229
Industrials,0.236
Materials,0.041
Real Estate,0.0
Technology,0.195
Utilities,0.005
