sector,weight
Communication Services,0.03
Consumer Discretionary,0.104
Consumer Staples,0.037
Energy,0.041
Financials,0.125
Health Care,0.109
Industrials,0.217
Materials,0.057
Real Estate,0.0
Technology,0.147
Utilities,0.033
