sector,weight
Communication Services,0.035
Consumer Discretionary,0.092
Consumer Staples,0.061
Energy,0.044
Financials,0.252
Health Care,0.094
Industrials,0.184
Materials,0.069
Technology,0.108
Utilities,0.033
