as_of_date,sector,weight
2026-04-17,Communication Services,0.0
2026-04-17,Consumer Discretionary,0.101
2026-04-17,Consumer Staples,0.045
2026-04-17,Energy,0.037
2026-04-17,Financials,0.128
2026-04-17,Health Care,0.109
2026-04-17,Industrials,0.234
2026-04-17,Materials,0.065
2026-04-17,Real Estate,0.061
2026-04-17,Technology,0.158
2026-04-17,Utilities,0.033
