sector,weight
Communication Services,0.0
Consumer Discretionary,0.056
Consumer Staples,0.225
Energy,0.038
Financials,0.105
Health Care,0.101
Industrials,0.213
Materials,0.103
Real Estate,0.044
Technology,0.025
Utilities,0.063
