sector,weight
Communication Services,0.023
Consumer Discretionary,0.173
Consumer Staples,0.041
Energy,0.18
Financials,0.252
Health Care,0.034
Industrials,0.146
Materials,0.05
Real Estate,0.0
Technology,0.057
Utilities,0.001
