sector,weight
Communication Services,0.035
Consumer Discretionary,0.048
Consumer Staples,0.099
Energy,0.075
Financials,0.181
Health Care,0.155
Industrials,0.146
Materials,0.033
Real Estate,0.0
Technology,0.1
Utilities,0.052
