as_of_date,sector,weight
2026-04-17,Communication Services,0.122
2026-04-17,Consumer Discretionary,0.129
2026-04-17,Consumer Staples,0.03
2026-04-17,Energy,0.004
2026-04-17,Financials,0.056
2026-04-17,Health Care,0.079
2026-04-17,Industrials,0.067
2026-04-17,Materials,0.003
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.497
2026-04-17,Utilities,0.003
