as_of_date,sector,weight
2026-04-17,Communication Services,0.035
2026-04-17,Consumer Discretionary,0.048
2026-04-17,Consumer Staples,0.099
2026-04-17,Energy,0.075
2026-04-17,Financials,0.181
2026-04-17,Health Care,0.155
2026-04-17,Industrials,0.146
2026-04-17,Materials,0.033
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.1
2026-04-17,Utilities,0.052
