as_of_date,sector,weight
2026-04-17,Communication Services,0.021
2026-04-17,Consumer Discretionary,0.078
2026-04-17,Consumer Staples,0.022
2026-04-17,Energy,0.031
2026-04-17,Financials,0.085
2026-04-17,Health Care,0.229
2026-04-17,Industrials,0.236
2026-04-17,Materials,0.041
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.195
2026-04-17,Utilities,0.005
