sector,weight
Communication Services,0.162
Consumer Discretionary,0.118
Consumer Staples,0.081
Energy,0.006
Financials,0.002
Health Care,0.05
Industrials,0.037
Materials,0.013
Real Estate,0.0
Technology,0.491
Utilities,0.015
