as_of_date,sector,weight
2026-04-17,Communication Services,0.0
2026-04-17,Consumer Discretionary,0.056
2026-04-17,Consumer Staples,0.225
2026-04-17,Energy,0.038
2026-04-17,Financials,0.105
2026-04-17,Health Care,0.101
2026-04-17,Industrials,0.213
2026-04-17,Materials,0.103
2026-04-17,Real Estate,0.044
2026-04-17,Technology,0.025
2026-04-17,Utilities,0.063
