sector,weight
Communication Services,0.027
Consumer Discretionary,0.101
Consumer Staples,0.022
Energy,0.041
Financials,0.173
Health Care,0.148
Industrials,0.171
Materials,0.042
Technology,0.142
Utilities,0.03
