sector,weight
Communication Services,0.039
Consumer Discretionary,0.093
Consumer Staples,0.065
Energy,0.047
Financials,0.152
Health Care,0.114
Industrials,0.155
Materials,0.049
Real Estate,0.0
Technology,0.144
Utilities,0.063
