sector,weight
Communication Services,0.166
Consumer Discretionary,0.126
Consumer Staples,0.016
Energy,0.004
Financials,0.051
Health Care,0.058
Industrials,0.053
Materials,0.008
Real Estate,0.012
Technology,0.502
Utilities,0.0
