sector,weight
Communication Services,0.094
Consumer Discretionary,0.067
Consumer Staples,0.048
Energy,0.004
Financials,0.001
Health Care,0.029
Industrials,0.021
Materials,0.008
Real Estate,0.0
Technology,0.291
Utilities,0.009
