as_of_date,sector,weight
2026-04-17,Communication Services,0.026
2026-04-17,Consumer Discretionary,0.071
2026-04-17,Consumer Staples,0.117
2026-04-17,Energy,0.095
2026-04-17,Financials,0.187
2026-04-17,Health Care,0.132
2026-04-17,Industrials,0.129
2026-04-17,Materials,0.026
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.137
2026-04-17,Utilities,0.06
