sector,weight
Communication Services,0.064
Consumer Discretionary,0.06
Consumer Staples,0.136
Energy,0.097
Financials,0.229
Health Care,0.051
Industrials,0.02
Materials,0.051
Real Estate,0.0
Technology,0.032
Utilities,0.246
