as_of_date,sector,weight
2026-04-17,Communication Services,0.023
2026-04-17,Consumer Discretionary,0.173
2026-04-17,Consumer Staples,0.041
2026-04-17,Energy,0.18
2026-04-17,Financials,0.252
2026-04-17,Health Care,0.034
2026-04-17,Industrials,0.146
2026-04-17,Materials,0.05
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.057
2026-04-17,Utilities,0.001
