as_of_date,sector,weight
2026-04-17,Communication Services,0.127
2026-04-17,Consumer Discretionary,0.073
2026-04-17,Consumer Staples,0.156
2026-04-17,Energy,0.073
2026-04-17,Financials,0.148
2026-04-17,Health Care,0.113
2026-04-17,Industrials,0.138
2026-04-17,Materials,0.063
2026-04-17,Technology,0.023
2026-04-17,Utilities,0.074
