sector,weight
Communication Services,0.004
Consumer Discretionary,0.012
Consumer Staples,0.0
Energy,0.001
Financials,0.0
Health Care,0.003
Industrials,0.001
Materials,0.017
Real Estate,0.004
Technology,0.001
Utilities,0.0
