as_of_date,sector,weight
2026-04-17,Communication Services,0.052
2026-04-17,Consumer Discretionary,0.108
2026-04-17,Consumer Staples,0.077
2026-04-17,Energy,0.033
2026-04-17,Financials,0.086
2026-04-17,Health Care,0.122
2026-04-17,Industrials,0.122
2026-04-17,Materials,0.016
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.143
2026-04-17,Utilities,0.053
