sector,weight
Communication Services,0.098
Consumer Discretionary,0.106
Consumer Staples,0.045
Energy,0.028
Financials,0.136
Health Care,0.098
Industrials,0.094
Materials,0.0
Technology,0.329
Utilities,0.022
