as_of_date,sector,weight
2026-04-17,Communication Services,0.162
2026-04-17,Consumer Discretionary,0.118
2026-04-17,Consumer Staples,0.081
2026-04-17,Energy,0.006
2026-04-17,Financials,0.002
2026-04-17,Health Care,0.05
2026-04-17,Industrials,0.037
2026-04-17,Materials,0.013
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.491
2026-04-17,Utilities,0.015
