sector,weight
Communication Services,0.053
Consumer Discretionary,0.118
Consumer Staples,0.071
Energy,0.051
Financials,0.192
Health Care,0.093
Industrials,0.145
Materials,0.077
Real Estate,0.033
Technology,0.134
Utilities,0.033
