sector,weight
Communication Services,0.161
Consumer Discretionary,0.114
Consumer Staples,0.081
Energy,0.007
Financials,0.002
Health Care,0.049
Industrials,0.036
Materials,0.013
Real Estate,0.0
Technology,0.494
Utilities,0.015
