sector,weight
Communication Services,0.103
Consumer Discretionary,0.1
Consumer Staples,0.051
Energy,0.04
Financials,0.107
Health Care,0.093
Industrials,0.091
Materials,0.019
Real Estate,0.0
Technology,0.33
Utilities,0.025
