sector,weight
Communication Services,0.107
Consumer Discretionary,0.1
Consumer Staples,0.052
Energy,0.04
Financials,0.111
Health Care,0.095
Industrials,0.092
Materials,0.02
Real Estate,0.0
Technology,0.339
Utilities,0.026
