as_of_date,sector,weight
2026-04-17,Communication Services,0.08
2026-04-17,Consumer Discretionary,0.089
2026-04-17,Consumer Staples,0.115
2026-04-17,Energy,0.08
2026-04-17,Financials,0.108
2026-04-17,Health Care,0.101
2026-04-17,Industrials,0.147
2026-04-17,Materials,0.023
2026-04-17,Technology,0.25
2026-04-17,Utilities,0.003
