as_of_date,sector,weight
2026-04-17,Communication Services,0.027
2026-04-17,Consumer Discretionary,0.101
2026-04-17,Consumer Staples,0.022
2026-04-17,Energy,0.041
2026-04-17,Financials,0.173
2026-04-17,Health Care,0.148
2026-04-17,Industrials,0.171
2026-04-17,Materials,0.042
2026-04-17,Technology,0.142
2026-04-17,Utilities,0.03
