sector,weight
Communication Services,0.103
Consumer Discretionary,0.099
Consumer Staples,0.052
Energy,0.039
Financials,0.108
Health Care,0.094
Industrials,0.091
Materials,0.02
Real Estate,0.0
Technology,0.33
Utilities,0.025
