as_of_date,sector,weight
2026-04-17,Communication Services,0.042
2026-04-17,Consumer Discretionary,0.106
2026-04-17,Consumer Staples,0.026
2026-04-17,Energy,0.035
2026-04-17,Financials,0.147
2026-04-17,Health Care,0.112
2026-04-17,Industrials,0.169
2026-04-17,Materials,0.047
2026-04-17,Technology,0.178
2026-04-17,Utilities,0.02
