sector,weight
Communication Services,0.1
Consumer Discretionary,0.099
Consumer Staples,0.05
Energy,0.036
Financials,0.126
Health Care,0.093
Industrials,0.103
Materials,0.024
Real Estate,0.0
Technology,0.322
Utilities,0.024
