sector,weight
Communication Services,0.132
Consumer Discretionary,0.1
Consumer Staples,0.062
Energy,0.003
Financials,0.005
Health Care,0.042
Industrials,0.028
Materials,0.009
Real Estate,0.0
Technology,0.398
Utilities,0.011
