sector,weight
Communication Services,0.098
Consumer Discretionary,0.101
Consumer Staples,0.044
Energy,0.029
Financials,0.111
Health Care,0.1
Industrials,0.091
Materials,0.019
Technology,0.318
Utilities,0.023
