as_of_date,sector,weight
2026-04-17,Communication Services,0.001
2026-04-17,Consumer Discretionary,0.06
2026-04-17,Consumer Staples,0.116
2026-04-17,Energy,0.059
2026-04-17,Financials,0.205
2026-04-17,Health Care,0.17
2026-04-17,Industrials,0.115
2026-04-17,Materials,0.026
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.166
2026-04-17,Utilities,0.072
