sector,weight
Communication Services,0.067
Consumer Discretionary,0.066
Consumer Staples,0.196
Energy,0.158
Financials,0.093
Health Care,0.192
Industrials,0.115
Materials,0.0
Real Estate,0.0
Technology,0.112
Utilities,0.0
