sector,weight
Communication Services,0.105
Consumer Discretionary,0.1
Consumer Staples,0.054
Energy,0.035
Financials,0.106
Health Care,0.098
Industrials,0.092
Materials,0.021
Real Estate,0.0
Technology,0.322
Utilities,0.025
