as_of_date,sector,weight
2026-04-17,Communication Services,0.126
2026-04-17,Consumer Discretionary,0.091
2026-04-17,Consumer Staples,0.062
2026-04-17,Energy,0.005
2026-04-17,Financials,0.002
2026-04-17,Health Care,0.04
2026-04-17,Industrials,0.029
2026-04-17,Materials,0.009
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.378
2026-04-17,Utilities,0.012
