as_of_date,sector,weight
2026-04-17,Communication Services,0.157
2026-04-17,Consumer Discretionary,0.125
2026-04-17,Consumer Staples,0.02
2026-04-17,Energy,0.008
2026-04-17,Financials,0.07
2026-04-17,Health Care,0.086
2026-04-17,Industrials,0.067
2026-04-17,Materials,0.015
2026-04-17,Real Estate,0.005
2026-04-17,Technology,0.442
2026-04-17,Utilities,0.0
