sector,weight
Communication Services,0.023
Consumer Discretionary,0.055
Consumer Staples,0.084
Energy,0.108
Financials,0.17
Health Care,0.067
Industrials,0.141
Materials,0.075
Real Estate,0.0
Technology,0.084
Utilities,0.117
