sector,weight
Communication Services,0.096
Consumer Discretionary,0.099
Consumer Staples,0.048
Energy,0.04
Financials,0.109
Health Care,0.094
Industrials,0.099
Materials,0.021
Real Estate,0.0
Technology,0.311
Utilities,0.024
