sector,weight
Communication Services,0.001
Consumer Discretionary,0.06
Consumer Staples,0.116
Energy,0.059
Financials,0.205
Health Care,0.17
Industrials,0.115
Materials,0.026
Real Estate,0.0
Technology,0.166
Utilities,0.072
