sector,weight
Communication Services,0.125
Consumer Discretionary,0.131
Consumer Staples,0.03
Energy,0.004
Financials,0.056
Health Care,0.086
Industrials,0.07
Materials,0.004
Real Estate,0.0
Technology,0.48
Utilities,0.003
