as_of_date,sector,weight
2026-04-17,Communication Services,0.132
2026-04-17,Consumer Discretionary,0.1
2026-04-17,Consumer Staples,0.062
2026-04-17,Energy,0.003
2026-04-17,Financials,0.005
2026-04-17,Health Care,0.042
2026-04-17,Industrials,0.028
2026-04-17,Materials,0.009
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.398
2026-04-17,Utilities,0.011
