sector,weight
Communication Services,0.026
Consumer Discretionary,0.107
Consumer Staples,0.041
Energy,0.039
Financials,0.177
Health Care,0.08
Industrials,0.195
Materials,0.075
Real Estate,0.0
Technology,0.083
Utilities,0.051
