sector,weight
Communication Services,0.071
Consumer Discretionary,0.068
Consumer Staples,0.036
Energy,0.027
Financials,0.075
Health Care,0.064
Industrials,0.062
Materials,0.014
Real Estate,0.0
Technology,0.228
Utilities,0.017
