sector,weight
Communication Services,0.0
Consumer Discretionary,0.015
Consumer Staples,0.0
Energy,0.001
Financials,0.0
Health Care,0.004
Industrials,0.0
Materials,0.025
Real Estate,0.006
Technology,0.0
Utilities,0.0
