sector,weight
Communication Services,0.035
Consumer Discretionary,0.099
Consumer Staples,0.032
Energy,0.042
Financials,0.055
Health Care,0.143
Industrials,0.244
Materials,0.031
Real Estate,0.0
Technology,0.231
Utilities,0.01
