as_of_date,sector,weight
2026-04-17,Communication Services,0.026
2026-04-17,Consumer Discretionary,0.107
2026-04-17,Consumer Staples,0.041
2026-04-17,Energy,0.039
2026-04-17,Financials,0.177
2026-04-17,Health Care,0.08
2026-04-17,Industrials,0.195
2026-04-17,Materials,0.075
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.083
2026-04-17,Utilities,0.051
