sector,weight
Communication Services,0.096
Consumer Discretionary,0.133
Consumer Staples,0.046
Energy,0.044
Financials,0.234
Health Care,0.036
Industrials,0.065
Materials,0.065
Technology,0.211
Utilities,0.03
