date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-12-31,45.2800,46.0000,43.2000,43.8000,43.8000,60814200,0.0000
2005-01-31,42.9800,43.1700,41.7000,42.2200,42.2200,35610700,0.0000
2005-02-28,42.0900,43.7400,41.0200,43.5200,43.5200,40152200,0.0000
2005-03-31,43.3000,44.6700,42.3500,42.8200,42.8200,41040900,0.0000
2005-04-29,42.6000,43.7000,42.1600,43.3500,43.3500,38296900,0.0000
2005-05-31,43.1300,43.1700,41.3300,41.6500,41.6500,31856300,0.0000
2005-06-30,41.4100,44.1300,41.4000,43.4400,43.4400,36150800,0.0000
2005-07-29,43.4000,43.4000,41.7000,42.8200,42.8200,33962600,0.0000
2005-08-31,43.0800,44.7200,42.8100,43.4000,43.4000,32272700,0.0000
2005-09-30,43.9300,47.2300,43.8500,46.7000,46.7000,44606800,0.0000
2005-10-31,46.6200,47.7200,45.8300,46.4000,46.4000,45492200,0.0000
2005-11-30,46.0700,49.9900,45.3200,49.1000,49.1000,37105500,0.0000
2005-12-30,49.6300,53.7600,48.8000,51.5800,51.5800,79414500,0.0000
2006-01-31,52.2900,57.0500,52.1000,56.7000,56.7000,103756000,0.0000
2006-02-28,56.8300,57.3000,53.3300,56.0700,56.0700,86811500,0.0000
2006-03-31,56.0200,58.7000,53.1500,58.1000,58.1000,92482300,0.0000
2006-04-28,58.6300,65.2700,58.0000,65.0900,65.0900,117311500,0.0000
2006-05-31,65.7200,72.2600,62.6500,64.2300,64.2300,255944400,0.0000
2006-06-30,62.4200,65.5600,55.0500,61.2300,61.2300,191153000,0.0000
2006-07-31,61.9900,66.4200,59.8300,63.1600,63.1600,139236581,0.0000
2006-08-31,62.9200,65.2200,60.3000,62.2900,62.2900,97487400,0.0000
2006-09-29,61.9500,63.6300,56.6600,59.4700,59.4700,94856100,0.0000
2006-10-31,59.8000,60.6500,55.5500,60.2400,60.2400,82066900,0.0000
2006-11-30,61.0300,64.4300,60.6800,64.3900,64.3900,108084200,0.0000
2006-12-29,64.2100,64.5500,60.6500,63.2100,63.2100,77057300,0.0000
2007-01-31,63.5800,64.9811,59.6600,64.8300,64.8300,100252400,0.0000
