sector,weight
Communication Services,0.103
Consumer Discretionary,0.099
Consumer Staples,0.051
Energy,0.037
Financials,0.125
Health Care,0.093
Industrials,0.1
Materials,0.022
Real Estate,0.0
Technology,0.325
Utilities,0.025
