as_of_date,sector,weight
2026-04-17,Communication Services,0.032
2026-04-17,Consumer Discretionary,0.13
2026-04-17,Consumer Staples,0.06
2026-04-17,Energy,0.078
2026-04-17,Financials,0.232
2026-04-17,Health Care,0.088
2026-04-17,Industrials,0.128
2026-04-17,Materials,0.0
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.14
2026-04-17,Utilities,0.025
