sector,weight
Communication Services,0.08
Consumer Discretionary,0.089
Consumer Staples,0.115
Energy,0.08
Financials,0.108
Health Care,0.101
Industrials,0.147
Materials,0.023
Technology,0.25
Utilities,0.003
