sector,weight
Communication Services,0.0
Consumer Discretionary,0.101
Consumer Staples,0.045
Energy,0.037
Financials,0.128
Health Care,0.109
Industrials,0.234
Materials,0.065
Real Estate,0.061
Technology,0.158
Utilities,0.033
