as_of_date,sector,weight
2026-04-17,Communication Services,0.0
2026-04-17,Consumer Discretionary,0.068
2026-04-17,Consumer Staples,0.089
2026-04-17,Energy,0.07
2026-04-17,Financials,0.203
2026-04-17,Health Care,0.12
2026-04-17,Industrials,0.15
2026-04-17,Materials,0.034
2026-04-17,Real Estate,0.04
2026-04-17,Technology,0.151
2026-04-17,Utilities,0.048
