sector,weight
Communication Services,0.06
Consumer Discretionary,0.105
Consumer Staples,0.058
Energy,0.041
Financials,0.105
Health Care,0.093
Industrials,0.103
Materials,0.019
Real Estate,0.0
Technology,0.354
Utilities,0.017
