sector,weight
Communication Services,0.122
Consumer Discretionary,0.129
Consumer Staples,0.03
Energy,0.004
Financials,0.056
Health Care,0.079
Industrials,0.067
Materials,0.003
Real Estate,0.0
Technology,0.497
Utilities,0.003
