sector,weight
Communication Services,0.042
Consumer Discretionary,0.106
Consumer Staples,0.026
Energy,0.035
Financials,0.147
Health Care,0.112
Industrials,0.169
Materials,0.047
Technology,0.178
Utilities,0.02
