sector,weight
Communication Services,0.005
Consumer Discretionary,0.056
Consumer Staples,0.106
Energy,0.033
Financials,0.194
Health Care,0.167
Industrials,0.119
Materials,0.034
Real Estate,0.0
Technology,0.241
Utilities,0.028
