sector,weight
Communication Services,0.127
Consumer Discretionary,0.073
Consumer Staples,0.156
Energy,0.073
Financials,0.148
Health Care,0.113
Industrials,0.138
Materials,0.063
Technology,0.023
Utilities,0.074
