as_of_date,sector,weight
2026-04-17,Communication Services,0.046
2026-04-17,Consumer Discretionary,0.159
2026-04-17,Consumer Staples,0.032
2026-04-17,Energy,0.081
2026-04-17,Financials,0.214
2026-04-17,Health Care,0.072
2026-04-17,Industrials,0.13
2026-04-17,Materials,0.07
2026-04-17,Real Estate,0.0
2026-04-17,Technology,0.088
2026-04-17,Utilities,0.027
